L8L8L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L16L16L16L16,L16L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L16L16,L16L16L16LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L16L16L16L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L16L17,L17L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16LX
L18L18L19L18,L18L18L18L18,L18L18L18L18,L18L19L19L19,L19L19L18L18,L18L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17LX
L0L3L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L3L3LX
L14L14L14L14,L14L14L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14L14L14L14,L14L14L14LX
L13L12L13L13,L13L13L13L13,L13L13L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L13L14,L14L14L14L14,L14L14L14LX
L15L15L15L16,L16L16L16L15,L15L15L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L15L16L16,L16L15L15L16,L16L16L16L16,L16L16L16L15,L15L15L15L16,L16L16L16LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17LX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13LX
L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14L14L14LX
L17L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18LX
L15L15L15L15,L15L14L14L14,L14L14L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13LX
