L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9LXLXLX
L16L16L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17LXLXLX
L17L17L17L17,L17L17L18L18,L18L18L18L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L18L17L16,L16LXLXLX
L15L15L15L15,L15L15L15L14,L14L15L15L15,L15L15L15L15,L15L14L14L14,L14L15L15L15,L15L15L16L16,L16LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L14,L14LXLXLX
L16L16L16L16,L16L16L16L15,L15L15L15L15,L15L15L16L15,L15L16L16L16,L16L16L16L16,L16L16L17L17,L17LXLXLX
L17L17L17L17,L17L17L16L16,L16L17L15L15,L15L15L16L17,L17L17L18L18,L18L18L19L19,L19L19L19L19,L19LXLXLX
L3L3L4L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L0L10L10,L10L10L4L5,L5L5L5L5,L5LXLXLX
L14L14L13L13,L13L13L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L13,L13L13L13L14,L14L14L14L14,L14LXLXLX
L12L13L13L13,L13L13L14L14,L14L14L14L14,L14L14L14L14,L14L15L16L15,L15L14L14L14,L14L14L14L14,L14LXLXLX
L14L14L15L15,L15L15L16L16,L16L16L16L16,L16L16L16L16,L16L16L17L17,L17L16L16L15,L15L16L16L17,L17LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L14L14L14L14,L14L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14LXLXLX
L18L18L17L17,L17L17L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L17L17,L17LXLXLX
L13L15L14L17,L17L14L14L14,L14L14L14L14,L14L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13LXLXLX
L6L6L6L6,L6L6L6L6,L6L6L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16LXLXLX
L13L13L14L14,L14L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14L14L14L14,L14LXLXLX
