L8L8L8L8,L8L8L8L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L8L8,L8L8L8L8,L8L8L8L8,L8LXLXLX
L18L17L17L17,L17L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16LXLXLX
L19L18L17L17,L17L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L15L15,L15L15L15L15,L15L15L15L15,L15L15L16L16,L16LXLXLX
L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L17L17,L17L17L17L17,L17LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16LXLXLX
L17L17L17L17,L17L17L17L16,L16L15L15L15,L15L15L15L15,L15L15L15L16,L16L16L16L16,L16L16L16L17,L17L17L17L17,L17L17L16L16,L16LXLXLX
L4L10L0L4,L4L4L4L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5LXLXLX
L13L13L13L13,L13L13L13L13,L13L12L12L12,L12L12L12L12,L12L12L12L12,L12L13L13L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L12L13L13L13,L13L13L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L13,L13L13L13L14,L14L14L14L15,L15L15L15L15,L15L15L15L15,L15LXLXLX
L14L15L15L15,L15L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L15,L15L15L15L16,L16L16L19L18,L18L17L17L17,L17L18L18L18,L18LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L16L16L16,L16L16L16L16,L16L16L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
