L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8LXLXLX
L15L15L15L16,L16L16L17L17,L17L17L17L18,L18L18L18L18,L18L19L19L19,L19L19L19L19,L19L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L17L17L16,L16L16L16L15,L15L15L15L15,L15L15L15L15,L15LXLXLX
L15L15L15L15,L15L16L16L16,L16L16L16L17,L17L17L17L18,L18L18L18L18,L18L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L18L18,L18L18L17L17,L17L17L16L16,L16L15L15L15,L15L15L15L15,L15L14L14L14,L14LXLXLX
L18L18L17L17,L17L17L16L16,L16L16L16L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L16L16L16,L16L16L16L16,L16LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L13L13L13L13,L13L12L12L12,L12L12L12L12,L12L12L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L14,L14L14L14L14,L14LXLXLX
L13L12L12L12,L12L12L12L12,L12L12L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L12L12,L12L13L13L14,L14L15L15L15,L15LXLXLX
L15L16L16L14,L14L14L13L13,L13L13L13L13,L13L14L14L14,L14L15L14L15,L15L15L15L15,L15L15L15L15,L15L16L16L18,L18L14L15L15,L15L15L15L15,L15L15L16L15,L15L15L14L15,L15L13L14L14,L14L14L14L14,L14L13L13L13,L13L13L13L13,L13L14L14L15,L15L16L17L17,L17LXLXLX
L5L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L3,L3L3L3L3,L3L3L2L0,L0L2L2L2,L2L2L2L2,L2L3L3L3,L3L3L3L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L4L4,L4L4L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5LXLXLX
L13L13L13L13,L13L13L12L12,L12L13L13L13,L13L12L12L12,L12L13L13L13,L13L12L12L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14LXLXLX
L13L12L12L12,L12L12L12L12,L12L12L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L12,L12L12L12L12,L12L12L12L11,L11L11L12L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L12L12L12,L12L12L12L12,L12L12L12L13,L13L13L13L14,L14L14L14L15,L15LXLXLX
L15L14L13L13,L13L13L12L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14L13L13L13,L13L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L13,L13L14L14L13,L13L13L13L14,L14L14L14L14,L14L14L15L15,L15L15L16L16,L16L16L16L16,L16LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L17L17L17L17,L17L17L17L17,L17L17L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L17L17,L17LXLXLX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L15,L15L16L16L15,L15L15L14L14,L14L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13LXLXLX
L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L5L5,L5L5L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6L6L6L6,L6LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L15,L15L15L15L15,L15L14L14L14,L14L14L14L14,L14LXLXLX
L17L17L17L17,L17L17L17L17,L17L17L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16LXLXLX
L14L14L14L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L14,L14L14L14L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L15L15L15,L15L15L15L15,L15L15L14L14,L14L14L13L13,L13LXLXLX
